"STATISTIC","Statistic Label","TLIST(A1)","Year","C03788V04538","County","UNIT","VALUE"
"G0420C01","Population per County","2022","2022","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","Number","61968"
"G0420C01","Population per County","2022","2022","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","Number","81704"
"G0420C01","Population per County","2022","2022","2ae19629-1450-13a3-e055-000000000001","Co. Clare","Number","127938"
"G0420C01","Population per County","2022","2022","2ae19629-1451-13a3-e055-000000000001","Co. Cork","Number","584156"
"G0420C01","Population per County","2022","2022","2ae19629-1452-13a3-e055-000000000001","Co. Donegal","Number","167084"
"G0420C01","Population per County","2022","2022","2ae19629-144f-13a3-e055-000000000001","Co. Dublin","Number","1458154"
"G0420C01","Population per County","2022","2022","2ae19629-1453-13a3-e055-000000000001","Co. Galway","Number","277737"
"G0420C01","Population per County","2022","2022","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","Number","156458"
"G0420C01","Population per County","2022","2022","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","Number","247774"
"G0420C01","Population per County","2022","2022","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","Number","104160"
"G0420C01","Population per County","2022","2022","2ae19629-143e-13a3-e055-000000000001","Co. Laois","Number","91877"
"G0420C01","Population per County","2022","2022","2ae19629-143f-13a3-e055-000000000001","Co. Leitrim","Number","35199"
"G0420C01","Population per County","2022","2022","2ae19629-1440-13a3-e055-000000000001","Co. Limerick","Number","209536"
"G0420C01","Population per County","2022","2022","2ae19629-1441-13a3-e055-000000000001","Co. Longford","Number","46751"
"G0420C01","Population per County","2022","2022","2ae19629-1442-13a3-e055-000000000001","Co. Louth","Number","139703"
"G0420C01","Population per County","2022","2022","2ae19629-1443-13a3-e055-000000000001","Co. Mayo","Number","137970"
"G0420C01","Population per County","2022","2022","2ae19629-1444-13a3-e055-000000000001","Co. Meath","Number","220826"
"G0420C01","Population per County","2022","2022","2ae19629-1445-13a3-e055-000000000001","Co. Monaghan","Number","65288"
